ID,TEMPO_PERMANENCIA_CLIENTE_MESES,B,C,D,E,G,H,J,OUTROS,TOTAL_DOLAR_FATURADO,TICKET_MEDIO,RECENCIA,FREQUENCIA,VALOR,CHURN
131.0,83.0,840,868,616,140,896,532,1092,112,211682.6,7560.092857142858,61.0,28.0,39.0,0
132.0,0.0,0,0,1,0,0,0,0,1,120.0,120.0,5723.0,1.0,1.0,1
133.0,168.0,80,32,16,112,0,0,0,32,25160.6,1572.5375,5175.0,16.0,19.0,1
134.0,143.0,187,85,272,221,34,0,34,187,76242.24,4484.837647058824,3318.0,17.0,21.0,1
135.0,0.0,1,0,1,0,1,1,0,1,2180.0,2180.0,4140.0,1.0,1.0,1
136.0,0.0,1,1,1,1,0,0,0,1,4265.0,4265.0,6332.0,1.0,1.0,1
137.0,20.0,2,2,4,0,0,0,2,2,6286.96,3143.48,3591.0,2.0,2.0,1
138.0,181.0,76,95,114,19,114,38,114,19,53666.85,2824.571052631579,61.0,19.0,19.0,0
139.0,108.0,210,90,90,165,105,30,90,60,43545.229999999996,2903.0153333333333,2283.0,15.0,15.0,0
140.0,0.0,1,0,1,0,0,0,0,0,1590.0,1590.0,4293.0,1.0,1.0,1
141.0,0.0,0,1,0,0,1,0,1,0,1749.98,1749.98,1980.0,1.0,1.0,1
142.0,147.0,80,30,0,80,20,20,20,10,59567.8,5956.780000000001,2192.0,10.0,11.0,0
143.0,0.0,0,0,1,0,0,0,0,0,240.0,240.0,6789.0,1.0,1.0,1
144.0,9.0,2,4,0,0,4,4,4,0,13251.28,6625.64,853.0,2.0,2.0,0
145.0,115.0,78,117,117,13,117,78,130,13,66277.95,5098.303846153846,244.0,13.0,14.0,0
146.0,69.0,0,7,0,0,0,0,7,0,21261.79,3037.3985714285714,183.0,7.0,10.0,0
147.0,140.0,2,2,0,0,0,0,2,0,3464.63,1732.315,853.0,2.0,2.0,1
148.0,0.0,1,1,1,0,1,1,1,0,8375.44,8375.44,1279.0,1.0,1.0,0
149.0,0.0,0,0,0,0,0,0,0,1,295.0,295.0,8250.0,1.0,1.0,1
150.0,4.0,0,12,8,0,0,4,16,0,8488.310000000001,2122.0775000000003,183.0,4.0,4.0,0
151.0,0.0,1,0,1,1,0,0,0,1,7480.15,7480.15,6789.0,1.0,1.0,0
152.0,0.0,0,1,0,0,1,0,1,0,1941.12,1941.12,1279.0,1.0,1.0,1
153.0,76.0,66,143,143,22,132,99,143,11,76173.39,6924.853636363637,457.0,11.0,13.0,0
154.0,80.0,6,6,6,6,6,6,6,0,21185.44,7061.813333333333,975.0,3.0,3.0,1
155.0,73.0,0,4,0,0,4,0,4,0,6198.58,1549.645,1310.0,4.0,4.0,0
156.0,0.0,1,1,1,1,1,0,1,1,850.0,850.0,2952.0,1.0,1.0,0
157.0,115.0,14,35,0,0,21,21,35,0,30422.28,4346.04,183.0,7.0,10.0,0
158.0,144.0,396,242,22,110,264,44,220,132,60696.64,2758.938181818182,3075.0,22.0,22.0,1
159.0,0.0,0,0,1,0,0,0,0,0,120.0,120.0,5114.0,1.0,1.0,1
160.0,41.0,5,10,0,0,5,0,10,0,20520.239999999998,4104.048,2648.0,5.0,5.0,1
161.0,12.0,12,4,0,12,0,0,0,12,20299.2,5074.8,6544.0,4.0,5.0,0
162.0,270.0,1288,230,230,1058,598,368,506,46,199424.73,4335.320217391304,30.0,46.0,58.0,0
163.0,64.0,5,15,0,0,5,0,10,5,11428.04,2285.608,2041.0,5.0,6.0,1
164.0,106.0,102,68,0,0,102,102,102,0,61542.47,3620.145294117647,669.0,17.0,22.0,0
165.0,136.0,3,0,3,6,0,0,0,3,9090.0,3030.0,2406.0,3.0,3.0,0
166.0,0.0,1,1,0,1,0,0,1,0,3287.97,3287.97,1491.0,1.0,1.0,0
167.0,0.0,1,1,0,1,1,1,1,2,7215.11,7215.11,3744.0,1.0,1.0,0
168.0,0.0,1,1,1,1,0,0,0,1,7100.98,7100.98,4687.0,1.0,1.0,0
169.0,88.0,10,15,20,0,15,5,15,10,11222.220000000001,2244.4440000000004,1552.0,5.0,5.0,1
170.0,97.0,8,4,4,4,12,12,8,8,18210.74,4552.685,1218.0,4.0,4.0,1
171.0,126.0,900,72,2520,612,1836,0,2052,612,147162.4,4087.8444444444444,366.0,36.0,95.0,0
172.0,36.0,12,4,4,4,12,12,4,8,26693.18,6673.295,3379.0,4.0,5.0,0
173.0,129.0,36,144,36,18,126,36,180,18,67151.93000000001,3730.662777777778,275.0,18.0,26.0,0
174.0,110.0,20,0,0,20,0,0,0,0,54718.32,2735.916,2587.0,20.0,23.0,0
175.0,200.0,288,312,24,168,312,96,312,24,70995.58,2958.1491666666666,1249.0,24.0,29.0,0
176.0,19.0,3,0,3,3,12,0,0,15,8065.0,2688.3333333333335,4079.0,3.0,4.0,1
177.0,313.0,3015,2814,3551,2077,2680,536,2881,1273,263266.69,3929.353582089552,122.0,67.0,92.0,0
178.0,0.0,1,0,0,1,0,0,0,0,3000.0,3000.0,5024.0,1.0,1.0,0
179.0,139.0,0,7,28,0,7,0,7,7,16991.84,2427.405714285714,1827.0,7.0,7.0,1
180.0,116.0,12,8,0,4,8,4,8,0,43057.3,10764.325,2102.0,4.0,5.0,1
181.0,39.0,0,3,0,0,0,3,3,3,4927.59,1642.53,30.0,3.0,3.0,0
182.0,63.0,8,4,4,4,8,8,4,0,19135.68,4783.92,2345.0,4.0,4.0,0
183.0,0.0,0,0,1,0,0,0,0,0,76.97,76.97,7396.0,1.0,1.0,1
184.0,91.0,0,4,0,0,0,4,4,0,16086.68,4021.67,457.0,4.0,4.0,0
185.0,5.0,4,0,4,4,0,0,0,2,10475.0,5237.5,6179.0,2.0,2.0,1
186.0,0.0,0,0,1,0,0,0,1,0,2379.15,2379.15,1430.0,1.0,1.0,0
187.0,105.0,15,15,20,10,0,0,0,20,7472.5,1494.5,5723.0,5.0,5.0,1
188.0,0.0,1,1,0,1,1,0,1,1,7924.7,7924.7,3471.0,1.0,1.0,1
189.0,90.0,248,124,31,186,186,31,124,186,208787.64,6735.085161290323,1857.0,31.0,52.0,0
190.0,241.0,315,140,70,315,175,70,175,35,198548.8,5672.822857142857,2010.0,35.0,90.0,0
191.0,175.0,144,48,0,32,16,16,16,160,40403.229999999996,2525.2018749999997,3197.0,16.0,16.0,1
192.0,156.0,5,5,5,10,5,0,5,0,5739.98,1147.9959999999999,2801.0,5.0,5.0,1
193.0,1.0,4,0,0,2,0,0,0,2,6173.0,3086.5,5754.0,2.0,2.0,0
194.0,8.0,0,25,0,0,20,0,30,0,15829.21,3165.8419999999996,61.0,5.0,6.0,0
195.0,1.0,2,0,0,2,0,0,0,0,2700.0,1350.0,5997.0,2.0,2.0,0
196.0,0.0,0,0,0,1,0,0,0,0,400.0,400.0,6027.0,1.0,1.0,0
197.0,16.0,0,0,4,0,0,0,0,0,670.0,335.0,5417.0,2.0,2.0,1
198.0,60.0,12,12,0,4,16,4,12,8,23527.0,5881.75,2345.0,4.0,4.0,1
199.0,39.0,21,28,42,14,35,28,35,28,34782.28,4968.897142857143,3197.0,7.0,7.0,1
200.0,0.0,2,0,0,0,0,0,0,0,1600.0,1600.0,4474.0,1.0,2.0,1
201.0,39.0,30,6,6,30,24,12,0,24,23285.0,3880.8333333333335,4262.0,6.0,9.0,0
202.0,165.0,28,7,0,28,0,0,0,14,21170.0,3024.285714285714,3410.0,7.0,7.0,1
203.0,149.0,306,324,108,216,288,324,306,90,169524.15,9418.008333333333,1614.0,18.0,22.0,0
204.0,0.0,0,0,0,0,0,0,0,1,100.0,100.0,183.0,1.0,1.0,0
205.0,118.0,30,0,0,10,0,0,0,0,12490.0,1249.0,3410.0,10.0,10.0,1
206.0,165.0,4,2,2,0,0,0,2,0,6759.02,3379.51,488.0,2.0,2.0,0
207.0,0.0,8,8,0,0,4,0,8,7,14285.0,14285.0,3956.0,1.0,8.0,1
208.0,148.0,110,99,33,55,132,44,132,0,38558.61,3505.3281818181817,30.0,11.0,13.0,0
209.0,178.0,3,6,0,3,0,0,6,3,7434.8,2478.266666666667,2860.0,3.0,4.0,1
210.0,53.0,48,8,0,32,0,8,0,16,39405.34,4925.6675,5024.0,8.0,8.0,0
211.0,135.0,126,270,0,90,216,0,270,18,64458.41,3581.022777777778,91.0,18.0,21.0,0
212.0,107.0,2,0,0,0,0,0,0,2,250.0,125.0,5509.0,2.0,2.0,0
213.0,132.0,189,27,702,27,216,0,216,81,42622.0,1578.5925925925926,2801.0,27.0,30.0,1
214.0,178.0,1058,184,46,874,92,46,230,276,126910.72,2758.928695652174,2102.0,46.0,69.0,1
215.0,158.0,4292,518,3996,3034,2072,444,0,2590,246161.05,3326.5006756756757,3044.0,74.0,123.0,1
216.0,79.0,9,6,0,3,6,3,6,3,20031.06,6677.02,1218.0,3.0,3.0,1
217.0,330.0,7380,9540,270,3060,9450,3060,9360,6660,557813.69,6197.929888888888,30.0,90.0,185.0,1
218.0,137.0,320,1360,80,240,720,120,1360,0,112947.69,2823.69225,153.0,40.0,63.0,0
219.0,20.0,2,0,0,2,0,0,0,2,3158.0,1579.0,1644.0,2.0,2.0,0
220.0,124.0,20,10,0,0,0,0,0,10,25835.1,2583.5099999999998,2283.0,10.0,14.0,1
221.0,92.0,80,56,16,24,56,40,56,40,57250.6,7156.325,1918.0,8.0,11.0,1
222.0,155.0,2,0,0,2,0,0,0,0,3045.0,1522.5,3502.0,2.0,2.0,0
223.0,0.0,1,0,1,1,1,1,0,1,6014.0,6014.0,4658.0,1.0,1.0,0
224.0,0.0,0,1,0,0,0,0,1,0,2345.94,2345.94,2587.0,1.0,1.0,1
225.0,84.0,6,0,0,6,0,0,0,6,10466.4,1744.3999999999999,3836.0,6.0,6.0,0
226.0,118.0,1254,1089,165,726,1089,330,1188,264,181100.97,5487.908181818182,1857.0,33.0,46.0,0
227.0,167.0,20,0,10,0,0,0,0,0,36783.24,3678.3239999999996,1522.0,10.0,11.0,1
228.0,208.0,130,104,104,39,156,156,156,52,79270.14,6097.703076923077,91.0,13.0,16.0,0
229.0,0.0,1,0,0,0,0,0,0,0,400.0,400.0,5328.0,1.0,1.0,1
230.0,0.0,0,0,1,0,0,0,0,0,215.0,215.0,3956.0,1.0,1.0,1
231.0,23.0,16,20,8,12,20,16,20,0,28993.77,7248.4425,91.0,4.0,5.0,0
232.0,124.0,8,8,12,4,12,0,8,4,11858.970000000001,2964.7425000000003,853.0,4.0,4.0,0
233.0,0.0,1,1,1,1,1,0,1,1,2676.74,2676.74,3987.0,1.0,1.0,0
234.0,215.0,1360,680,40,280,1000,880,1000,520,222643.93,5566.09825,122.0,40.0,47.0,0
235.0,6.0,4,2,2,4,4,2,2,2,6220.0,3110.0,2952.0,2.0,2.0,0
236.0,0.0,3,0,0,2,0,0,0,0,4260.0,4260.0,4871.0,1.0,3.0,0
237.0,180.0,4745,5395,6045,2145,5590,2405,5720,1170,529408.27,8144.742615384615,122.0,65.0,103.0,0
238.0,1.0,4,0,0,4,0,0,0,0,11654.0,5827.0,5509.0,2.0,2.0,0
239.0,151.0,20,5,0,10,5,5,5,0,14050.08,2810.016,2041.0,5.0,5.0,1
240.0,60.0,45,81,63,27,63,9,81,0,38407.54,4267.504444444445,1888.0,9.0,9.0,1
241.0,0.0,0,1,1,0,0,0,1,0,1852.68,1852.68,761.0,1.0,1.0,0
242.0,0.0,1,1,0,0,1,0,1,0,2533.46,2533.46,3502.0,1.0,1.0,1
243.0,59.0,45,72,27,0,27,36,72,9,89319.3,9924.366666666667,30.0,9.0,11.0,0
244.0,178.0,54,81,90,18,72,63,81,18,64534.9,7170.544444444445,1218.0,9.0,10.0,1
245.0,1.0,0,0,3,0,66,0,66,0,30005.0,10001.666666666666,1796.0,3.0,22.0,1
246.0,264.0,400,600,575,250,575,200,575,75,131069.67,5242.7868,153.0,25.0,27.0,0
