DATA_MENSAL,TOTAL_CASOS,TOTAL_DOLAR_FATURADO,ID
2022-12-01,1,2475.2,23
2013-06-01,1,740.0,24
2019-01-01,1,3161.28,25
2019-07-01,2,11952.94,25
2018-08-01,1,6805.16,25
2019-08-01,1,6593.92,25
2019-09-01,1,7300.24,25
2019-10-01,2,9432.22,25
2018-11-01,3,13083.06,25
2018-12-01,6,32727.06,25
2015-02-01,1,3584.24,26
2023-03-01,1,12969.78,26
2005-05-01,1,5435.0,26
2013-06-01,1,5350.0,26
2012-07-01,1,1900.0,26
2014-08-01,1,2346.74,26
2022-08-01,3,9883.42,26
2012-11-01,2,3860.0,26
2024-04-01,1,3705.33,27
2021-11-01,1,3281.96,27
2006-12-01,1,3140.0,28
2019-01-01,1,4428.06,29
2013-01-01,1,914.0,30
2014-03-01,1,5553.72,30
2012-04-01,1,114.0,30
2013-07-01,1,1098.0,30
2012-08-01,1,1482.0,30
2015-08-01,1,1406.0,30
2011-09-01,1,1113.25,30
2015-09-01,2,6066.56,30
2013-10-01,1,870.0,30
2013-01-01,1,2793.0,31
2018-01-01,1,6478.56,31
2019-02-01,1,7090.22,31
2014-03-01,1,2860.4,31
2024-04-01,1,3155.4,31
2013-07-01,1,2793.0,31
2012-08-01,1,3323.6,31
2015-08-01,1,4082.8,31
2011-09-01,1,2745.0,31
2015-09-01,2,4106.8,31
2019-09-01,1,6876.46,31
2013-10-01,1,3338.2,31
2017-10-01,1,6359.12,31
2017-11-01,1,6557.22,31
2017-04-01,1,4640.0,32
2008-05-01,1,120.0,32
2011-05-01,1,120.0,32
2017-07-01,1,2730.0,32
2009-11-01,1,240.0,32
2011-05-01,1,120.0,33
2020-11-01,1,1178.77,34
2024-01-01,1,2466.74,35
2020-03-01,1,5308.26,35
2021-04-01,1,2014.02,35
2021-05-01,1,6388.54,35
2020-10-01,1,5067.4,35
2020-11-01,1,1770.81,35
2012-03-01,1,1102.0,36
2015-04-01,1,2064.0,36
2018-05-01,1,15891.39,36
2014-07-01,1,1850.0,36
2013-09-01,1,450.0,36
2019-11-01,1,10937.55,36
2017-12-01,1,10315.92,36
2020-02-01,1,8309.0,37
2022-02-01,1,3731.0,37
2023-02-01,1,3228.0,37
2021-04-01,1,1662.0,37
2023-04-01,1,2542.0,37
2022-05-01,2,6452.0,37
2021-06-01,1,3162.0,37
2021-07-01,1,3189.0,37
2023-07-01,1,5916.25,37
2024-07-01,1,2044.29,37
2021-08-01,1,1542.0,37
2023-08-01,1,1643.92,37
2024-08-01,1,1798.31,37
2023-09-01,1,2182.0,37
2022-10-01,1,1242.0,37
2023-10-01,1,1762.78,37
2023-11-01,1,1530.0,37
2006-03-01,1,120.0,38
2007-03-01,1,575.0,38
2006-07-01,1,570.0,38
2003-08-01,1,220.0,38
2006-08-01,1,2335.0,38
2017-09-01,1,5503.4,38
2009-11-01,1,220.0,38
2017-12-01,2,8898.46,38
2010-01-01,1,4972.5,39
2012-02-01,1,1656.0,39
2013-02-01,2,3416.0,39
2014-02-01,2,4690.0,39
2013-03-01,2,2360.0,39
2015-03-01,4,8799.0,39
2012-04-01,1,2227.5,39
2016-04-01,1,2661.21,39
2010-05-01,1,2227.5,39
2014-05-01,2,6045.0,39
2012-06-01,1,4612.0,39
2014-06-01,1,2275.0,39
2012-07-01,2,2260.0,39
2013-07-01,2,2456.0,39
2014-08-01,2,4112.0,39
2002-10-01,1,1439.0,39
2011-11-01,1,270.0,39
2012-11-01,1,1170.0,39
2013-11-01,2,1330.0,39
2012-12-01,2,1820.0,39
2018-04-01,1,3563.3,40
2017-06-01,2,17212.42,40
2011-07-01,1,1990.0,40
2018-09-01,1,3558.3,40
2000-01-01,1,1180.0,41
2016-04-01,1,787.0,42
2011-07-01,1,1160.0,43
2012-10-01,1,830.0,43
2010-04-01,1,120.0,44
2013-06-01,1,120.0,44
2024-04-01,1,4530.34,45
2015-05-01,1,465.0,45
2014-06-01,2,5490.4,45
2024-10-01,5,41921.9,45
2023-11-01,2,20866.99,45
2016-05-01,1,4093.4,46
2021-11-01,1,4397.58,47
2002-01-01,1,2105.0,48
2003-01-01,1,2275.0,48
2014-01-01,1,2182.96,48
2015-01-01,1,2591.4,48
2004-02-01,1,570.0,48
2006-03-01,1,755.0,48
2015-04-01,2,5756.78,48
2004-05-01,1,1465.0,48
2003-06-01,1,2580.0,48
2012-07-01,1,560.0,48
2014-07-01,1,2128.76,48
2003-09-01,2,2120.0,48
2012-09-01,1,-1030.0,48
2005-10-01,1,110.0,48
2013-10-01,1,495.0,48
2014-11-01,2,4290.66,48
2014-12-01,1,1921.74,48
2013-01-01,1,120.0,49
2010-06-01,1,335.0,49
2017-11-01,1,3189.6,49
2013-01-01,1,780.0,50
2014-04-01,1,2570.0,51
2013-05-01,1,4044.0,51
2007-06-01,1,3055.0,51
1999-09-01,1,590.0,51
2021-07-01,1,2868.88,52
2011-03-01,1,120.0,53
2007-05-01,5,2550.0,53
2006-07-01,3,2070.0,53
2009-10-01,1,440.0,53
2006-11-01,1,240.0,53
2013-11-01,2,21948.72,53
2011-01-01,1,1900.0,54
2015-01-01,3,17184.16,54
2019-01-01,1,4804.1,54
2020-02-01,1,6482.5,54
2006-03-01,1,2410.0,54
2011-04-01,2,5850.0,54
2016-04-01,1,3990.0,54
2018-04-01,3,15965.22,54
2019-04-01,1,3089.24,54
2005-05-01,1,2412.5,54
2013-05-01,1,2480.0,54
2017-05-01,1,5763.58,54
2019-05-01,1,3447.26,54
2007-06-01,1,710.0,54
2018-06-01,1,6465.0,54
2020-07-01,2,3848.0,54
2013-08-01,1,630.0,54
2014-08-01,1,6224.94,54
2015-08-01,1,1940.0,54
2017-08-01,1,7625.04,54
2020-08-01,1,3828.12,54
2009-09-01,1,2550.0,54
2015-09-01,1,6254.64,54
2018-09-01,1,4229.12,54
2009-10-01,1,3200.0,54
2010-10-01,1,650.0,54
2010-11-01,2,4870.0,54
2018-11-01,1,2927.46,54
2014-12-01,1,6308.34,54
2020-05-01,1,2954.16,55
2018-06-01,1,5581.2,55
2010-01-01,1,1850.0,56
2016-02-01,2,8325.84,56
2018-04-01,1,4242.04,56
2013-06-01,2,4660.0,56
2018-06-01,1,6414.32,56
2013-09-01,2,320.0,56
2013-10-01,1,920.0,56
2018-10-01,1,3815.6,56
2024-02-01,1,2287.75,57
2011-09-01,1,240.0,57
2016-10-01,1,9159.37,57
2015-05-01,1,7715.5,58
2014-06-01,1,7984.24,58
2014-07-01,1,10420.74,58
2013-09-01,1,6147.87,58
2024-05-01,3,12215.33,59
2024-08-01,3,7254.57,59
2024-09-01,1,2300.6,59
2023-12-01,1,2826.2,59
2005-06-01,1,1910.0,60
2009-03-01,1,456.45,61
2010-01-01,1,2564.69,62
2011-07-01,1,431.19,62
2012-07-01,2,3033.05,62
2010-08-01,1,1898.15,62
2012-10-01,2,3942.0,63
2024-01-01,1,2230.35,64
2018-12-01,1,4299.27,64
2023-12-01,2,5097.15,64
2008-03-01,1,1405.0,65
2017-01-01,1,9286.06,66
2021-09-01,6,20881.18,66
2021-12-01,1,3751.8,66
2005-11-01,1,4032.5,67
2011-01-01,1,3335.0,68
2017-01-01,1,5989.44,68
2019-01-01,1,10032.84,68
2022-01-01,1,5140.34,68
2013-02-01,2,5780.0,68
2017-02-01,1,6904.92,68
2022-02-01,1,5191.26,68
2013-03-01,2,7175.0,68
2017-03-01,2,12561.62,68
2013-04-01,2,7895.0,68
2018-04-01,1,4800.36,68
2023-04-01,1,4318.32,68
2013-05-01,1,2750.0,68
2014-05-01,1,3729.56,68
2018-05-01,3,18143.82,68
2023-05-01,1,6230.03,68
2015-06-01,1,7388.48,68
2018-06-01,1,5403.4,68
2023-06-01,1,2534.28,68
2022-07-01,3,45069.08,68
2023-07-01,2,16801.37,68
2013-08-01,2,2520.0,68
2014-08-01,1,6792.52,68
2015-08-01,2,8562.7,68
2016-08-01,2,14037.22,68
2017-08-01,2,6652.42,68
2018-08-01,1,8086.56,68
2021-08-01,3,14146.68,68
2024-08-01,2,4760.14,68
2013-09-01,1,2060.0,68
2014-09-01,3,16389.62,68
2016-09-01,3,16130.84,68
2021-09-01,1,4164.5,68
2023-09-01,1,2564.1,68
2017-10-01,1,6716.74,68
2010-11-01,1,3880.0,68
2012-11-01,1,7018.55,68
2013-11-01,1,3820.0,68
2015-11-01,1,5004.36,68
2022-11-01,2,13050.9,68
2016-12-01,1,5067.84,68
2006-01-01,1,5700.0,69
2014-01-01,2,5265.12,69
2017-01-01,1,2945.88,69
2018-01-01,1,5926.58,69
2020-01-01,1,6438.0,69
2001-02-01,1,250.0,69
2008-02-01,2,655.0,69
2012-02-01,1,215.0,69
2014-02-01,3,10480.5,69
2015-02-01,2,16195.04,69
2017-02-01,1,2498.02,69
2018-02-01,1,6890.54,69
2020-02-01,1,4210.58,69
