PLAYER_ID,PLAYER_NAME,GP,PTS_PER_GP,IMC,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,FGM,FGA,FG%,AST,TOV,PF,TEAM_ABBREVIATION,FG_PCT_Restricted_Area,FG_PCT_In_The_Paint_(Non-RA),FG_PCT_Left_Corner_3,FG_PCT_Right_Corner_3,FG_PCT_Mid-Range,FG_PCT_Above_the_Break_3,AST_PER_GP,STL_PER_GP,BLK_PER_GP,MIN_PER_GP
1631214,Alondes Williams,7,0.71,25.57,-52.6,0.0,6.7,25.0,29.599999999999998,2,8,25.0,0,2,2,MIA,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,2.2857142857142856
1631216,Caleb Houstan,59,4.29,22.57,-1.8,3.4000000000000004,6.7,12.2,58.199999999999996,80,206,38.800000000000004,29,16,61,ORL,71.39999999999999,66.7,38.1,42.4,33.300000000000004,35.6,0.4915254237288136,0.2542372881355932,0.06779661016949153,13.813559322033898
1631217,Moussa Diabaté,11,2.64,22.45,-3.4,22.7,12.9,17.1,57.599999999999994,10,19,52.6,4,2,4,LAC,60.0,33.300000000000004,0.0,0.0,0.0,0.0,0.36363636363636365,0.45454545454545453,0.09090909090909091,5.818181818181818
1631218,Trayce Jackson-Davis,68,7.94,26.19,1.1,11.4,17.2,15.7,69.19999999999999,233,332,70.19999999999999,82,49,108,GSW,76.2,43.3,0.0,0.0,100.0,0.0,1.2058823529411764,0.4264705882352941,1.1176470588235294,16.61764705882353
1631220,Dereon Seabron,6,2.33,21.25,26.3,2.1,8.200000000000001,12.2,44.800000000000004,4,13,30.8,5,0,4,NOP,28.599999999999998,33.300000000000004,0.0,0.0,0.0,100.0,0.8333333333333334,0.3333333333333333,0.16666666666666666,9.166666666666666
1631221,Collin Gillespie,24,3.62,25.84,2.5,0.4,8.5,16.6,58.599999999999994,32,69,46.400000000000006,27,14,24,DEN,57.099999999999994,50.0,50.0,50.0,55.60000000000001,38.2,1.125,0.5416666666666666,0.0,9.375
1631222,Jake LaRavia,35,10.83,26.38,-6.7,5.6000000000000005,9.3,20.1,54.0,118,303,38.9,58,45,69,MEM,50.0,37.3,46.7,38.5,33.300000000000004,32.300000000000004,1.6571428571428573,0.8285714285714286,0.34285714285714286,23.02857142857143
1631223,David Roddy,65,6.54,31.05,-9.3,4.2,13.4,17.7,48.4,165,409,40.300000000000004,80,57,72,PHX,59.099999999999994,32.4,32.300000000000004,40.9,15.0,26.400000000000002,1.2307692307692308,0.4153846153846154,0.16923076923076924,18.107692307692307
1631230,Dominick Barlow,33,4.36,22.98,-4.5,9.8,16.7,13.900000000000002,54.800000000000004,56,113,49.6,36,9,47,SAS,57.699999999999996,45.2,0.0,42.9,42.9,0.0,1.0909090909090908,0.36363636363636365,0.42424242424242425,12.727272727272727
1631241,Javon Freeman-Liberty,22,6.95,23.62,-18.2,3.8,14.099999999999998,17.0,54.7,55,124,44.4,40,25,28,TOR,56.49999999999999,54.800000000000004,50.0,16.7,40.0,20.0,1.8181818181818181,0.45454545454545453,0.18181818181818182,18.318181818181817
